"","unitSamplingEpisodeID","fuelMoistureID","plotID","sampleMaterialID","wiredLogID","sampleNo","depth_mm","grossWetWt_g","wetContWt_g","grossDryWt_g","dryContWt_g","time.comments","dateCreated","unitName","NetWet","NetDry","MoistureWt","Error"
"49",5,306,NA,8,NA,5,NA,712.2,19.84,941.3,204.7,"0855",NA,"Paradise 90",692.36,736.6,-44.2399999999999,"Logical Bound (NetDryWt > NetWetWt)"
"313",14,3,NA,8,NA,2,NA,344.7,20,392.6,47.9,"14:30",NA,"Chumstick ZUI",324.7,344.7,-20.0000000000001,"Logical Bound (NetDryWt > NetWetWt)"
"394",14,357,NA,34,NA,1,NA,138.6,20.2,195.3,39.8,"14:00",NA,"Chumstick ZUI",118.4,155.5,-37.1,"Logical Bound (NetDryWt > NetWetWt)"
"33",4,405,NA,30,67,20,NA,1087.1,19.86,666.6,55.7,"time?",NA,"Hanlon",1067.24,610.9,456.34,"Regression: NetDry~NetWet (StdRes > |3|)"
"491",5,306,NA,8,NA,5,NA,712.2,19.84,941.3,204.7,"0855",NA,"Paradise 90",692.36,736.6,-44.2399999999999,"Regression: NetDry~NetWet (StdRes > |3|)"
"74",5,349,NA,30,70,13,NA,1149.9,20.1,653.1,50.8,"",NA,"Paradise 90",1129.8,602.3,527.5,"Regression: NetDry~NetWet (StdRes > |3|)"
"77",5,352,NA,30,73,16,NA,1494.8,20.3,790.5,50,"",NA,"Paradise 90",1474.5,740.5,734,"Regression: NetDry~NetWet (StdRes > |3|)"
"104",5,339,NA,30,81,3,NA,488.6,20.2,265,59.6,"",NA,"Paradise 90",468.4,205.4,263,"Regression: NetDry~NetWet (StdRes > |3|)"
"184",10,194,NA,30,226,13,NA,1261,20.04,837.8,54.5,"",NA,"Orion 2",1240.96,783.3,457.66,"Regression: NetDry~NetWet (StdRes > |3|)"
"282",11,152,NA,30,175,2,NA,949.93,19.8,547,30.4,"time?",NA,"Angel",930.13,516.6,413.53,"Regression: NetDry~NetWet (StdRes > |3|)"
"283",11,153,NA,30,176,3,NA,936.08,19.8,567.8,51.7,"time?",NA,"Angel",916.28,516.1,400.18,"Regression: NetDry~NetWet (StdRes > |3|)"
