"","unitSamplingEpisodeID","fuelMoistureID","plotID","sampleMaterialID","wiredLogID","sampleNo","depth_mm","grossWetWt_g","wetContWt_g","grossDryWt_g","dryContWt_g","time.comments","dateCreated","unitName","NetWet","NetDry","MoistureWt","FMpercent","Error"
"49",5,306,NA,"8",NA,5,NA,712.2,19.84,941.3,204.7,"0855",NA,"Paradise 90",692.36,736.6,-44.2399999999999,-6.00597339125711,"Logical Bound (NetDryWt > NetWetWt)"
"313",14,3,NA,"8",NA,2,NA,344.7,20,392.6,47.9,"14:30",NA,"Chumstick ZUI",324.7,344.7,-20.0000000000001,-5.80214679431391,"Logical Bound (NetDryWt > NetWetWt)"
"394",14,357,NA,"34",NA,1,NA,138.6,20.2,195.3,39.8,"14:00",NA,"Chumstick ZUI",118.4,155.5,-37.1,-23.8585209003215,"Logical Bound (NetDryWt > NetWetWt)"
"491",5,306,NA,"8",NA,5,NA,712.2,19.84,941.3,204.7,"0855",NA,"Paradise 90",692.36,736.6,-44.2399999999999,-6.00597339125711,"Logical Bound (FuelMoisture < 0)"
"3131",14,3,NA,"8",NA,2,NA,344.7,20,392.6,47.9,"14:30",NA,"Chumstick ZUI",324.7,344.7,-20.0000000000001,-5.80214679431391,"Logical Bound (FuelMoisture < 0)"
"3941",14,357,NA,"34",NA,1,NA,138.6,20.2,195.3,39.8,"14:00",NA,"Chumstick ZUI",118.4,155.5,-37.1,-23.8585209003215,"Logical Bound (FuelMoisture < 0)"
"162",10,212,NA,"31",NA,1,NA,1102.9,19.84,1004.5,47.5,"",NA,"Orion 2",1083.06,957,126.06,13.1724137931035,"Regression: NetDry~NetWet (StdRes > |3|)"
"167",10,217,NA,"31",NA,6,NA,1126.4,19.84,1025.4,50,"",NA,"Orion 2",1106.56,975.4,131.16,13.4467910600779,"Regression: NetDry~NetWet (StdRes > |3|)"
"284",11,154,NA,"30",177,4,NA,1865.8,50.9,1520.7,91.8,"time?",NA,"Angel",1814.9,1428.9,386,27.0137868290293,"Regression: NetDry~NetWet (StdRes > |3|)"
"295",11,165,NA,"30",188,15,NA,2330.92,51.1,1950.1,113.9,"time?",NA,"Angel",2279.82,1836.2,443.62,24.1596775950332,"Regression: NetDry~NetWet (StdRes > |3|)"
"336",14,26,NA,"30",129,16,NA,1236.7,20,1219.8,208.9,"13:30",NA,"Chumstick ZUI",1216.7,1010.9,205.8,20.3580967454743,"Regression: NetDry~NetWet (StdRes > |3|)"
