fuelMoistureID,unitSamplingEpisodeID,plotID,sampleMaterialID,wiredLogID,sampleNo,depth_mm,grossWetWt_g,wetContWt_g,grossDryWt_g,dryContWt_g,time/comments,dateCreated
1,12,,0,138,,,,,,,,
2,14,,8,,1,,295.3,20,292.5,47.6,14:30,
3,14,,8,,2,,344.7,20,392.6,47.9,14:30,
4,14,,8,,3,,380.1,20,380.6,56.6,14:30,
5,14,,8,,4,,411.5,20,408.3,50.4,14:30,
6,14,,8,,5,,450,20,446.8,57.4,14:30,
7,14,,8,,6,,277.8,20,288.5,50.4,"14:30 missing value for tare, 50.4 is mean of 9 other 10hr tares",
8,14,,8,,7,,306.8,20,298.5,42.1,14:30,
9,14,,8,,8,,366.9,20,357.8,42.6,14:30,
10,14,,8,,9,,331.9,20,339.6,55.1,14:30,
11,14,,8,,10,,371.6,20,378.4,53.9,14:30,
12,14,,30,114,1,,1276.6,31.06,1176.2,204.3,13:30,
13,14,,30,115,2,,634.1,20.1,511.5,52,13:30,
14,14,,30,116,3,,584.6,20.1,554.9,50.5,13:30,
15,14,,30,117,4,,621.9,20.1,493.2,49.7,13:30,
16,14,,30,118,5,,889.2,20.1,662.9,48.1,13:30,
17,14,,30,119,6,,276.2,20.1,240.5,37.1,13:30,
18,14,,30,120,7,,285.2,20.1,270,44.8,13:30,
19,14,,30,121,8,,576.4,20.1,404.5,54,13:30,
20,14,,30,122,9,,663.8,20.1,589.2,61.2,13:30,
21,14,,30,123,10,,474.7,20.1,445.9,49.2,13:30,
22,14,,30,124,11,,1044.9,20,762,60.7,13:30,
23,14,,30,125,12,,73.6,20,77.8,28.1,13:30 only one cookie,
24,14,,30,127,14,,676.2,20,647.2,51.2,13:30,
25,14,,30,128,15,,383.6,20,359.3,43.1,13:30,
26,14,,30,129,16,,1236.7,20,1219.8,208.9,13:30,
27,14,,30,130,17,,193.2,20,194.1,39.5,13:30,
28,14,,30,131,18,,274.8,20,278.7,62.3,13:30,
29,14,,30,132,19,,901.3,20,616.5,58.1,13:30,
30,14,,30,133,20,,160.7,20,153.3,29.9,13:30,
31,14,,31,,1,,362.5,20,332.6,38.4,14:30,
32,14,,31,,2,,337.9,20,314.6,29.7,14:30,
33,14,,31,,3,,265.5,20,226.6,34.7,14:30,
34,14,,31,,4,,221.3,20,201.9,20.8,14:30,
35,14,,31,,5,,501.7,20,493.5,59.8,14:30,
36,14,,31,,6,,378.7,20,379.4,55.3,14:30,
37,14,,31,,7,,344.1,20,333.6,42.2,14:30,
38,14,,31,,8,,471.2,20,471.3,60.2,14:30,
39,14,,31,,9,,229.9,20,249.2,55.8,14:30,
40,14,,31,,10,,422.1,20,425.2,57.6,14:30,
41,14,,5,,1,,52.2,20.2,75.1,51.8,14,
42,14,,5,,2,,50.6,20.2,75.7,54.4,14,
43,14,,5,,3,,42.7,20.2,75.7,57.7,14,
44,14,,5,,4,,42.9,20.2,57,37.1,14,
45,14,,5,,5,,48.6,20.2,70.1,48.1,14,
46,14,,5,,6,,45.8,20.2,68.2,52.2,14,
47,14,,5,,7,,48.9,20.2,71.7,52.5,14,
48,14,,5,,8,,50.4,20.2,84.8,60.4,14,
49,14,,5,,9,,46.8,20.2,80.2,59.3,14,
50,14,,5,,10,,38.8,20.2,70.1,54.4,14,
51,14,,2,,1,,38.2,20.2,49.7,40.6,14,
52,14,,2,,2,,43.7,20.2,39.5,26.6,14,
53,14,,2,,3,,56.1,20.2,43.1,25.9,14,
54,14,,2,,4,,63.5,20.2,50.7,30.3,14,
55,14,,2,,5,,48.6,20.2,39.8,30.3,14,
56,14,,2,,6,,45.3,20.2,50.7,39.9,14,
57,14,,2,,7,,53.3,20.2,33.1,21.1,14,
58,14,,2,,8,,42.8,20.2,39.9,30,14,
59,14,,2,,9,,51.7,20.2,56.5,39.9,14,
60,14,,2,,10,,52.8,20.2,44.7,27.8,14,
61,14,,4,,1,,167.1,20,189.2,54.2,14:30,
62,14,,4,,2,,125.7,20,147.8,51.3,14:30,
63,14,,4,,3,,150.5,20,169.2,50.2,14:30,
64,14,,4,,4,,132.1,20,150.3,46.9,14:30,
65,14,,4,,5,,140.9,20,159.4,48.1,14:30,
66,14,,4,,6,,112.7,20,147.4,62.7,14:30,
67,14,,4,,7,,101.7,20,132,56.2,14:30,
68,14,,4,,8,,128.4,20,159,60.5,14:30,
69,14,,4,,9,,127.8,20,157.8,59.8,14:30,
70,14,,4,,10,,128.8,20,139.3,40.3,14:30,
71,14,,3,,1,,57.6,20.2,86.8,51.4,14:30,
72,14,,3,,2,,70.9,20.2,104.1,58,14:30,
73,14,,3,,3,,79.2,20.2,106.5,53.1,14:30,
74,14,,3,,4,,87.3,20.2,112.9,50.8,14:30,
75,14,,3,,5,,98.3,20.2,135.3,64.3,14:30,
76,14,,3,,6,,76.1,20.2,103,52,14:30,
77,14,,3,,7,,62.9,20.2,108.9,68.7,14:30,
78,14,,3,,8,,89.7,20.2,118.1,55.1,14:30,
79,14,,3,,9,,61.8,20.2,68.4,29.7,14:30,
80,14,,3,,10,,60.9,20.2,67.5,29.3,14:30,
81,11,,3,,1,,119.74,19.96,142.4,53.3,time?,
82,11,,3,,2,,107.16,19.96,106.7,28.1,time?,
83,11,,3,,3,,79.65,19.96,97.8,44.9,time?,
84,11,,3,,4,,93.01,19.96,96.4,31.6,time?,
85,11,,3,,5,,97.03,19.96,275.5,204.5,time?,
86,11,,3,,6,,113.03,19.96,147.1,64.6,time?,
87,11,,3,,7,,100.7,19.96,284,212.3,time?,
88,11,,3,,8,,99.2,19.96,104.3,35.2,time?,
89,11,,3,,9,,132.16,19.96,136,37.2,time?,
90,11,,3,,10,,118,19.96,294.4,207.2,time?,
91,11,,31,,1,,205.15,19.9,195.6,31.7,time?,
92,11,,31,,2,,308.09,19.9,281.7,30.4,time?,
93,11,,31,,3,,206.48,19.9,207.8,39.6,time?,
94,11,,31,,4,,131.61,19.9,126.4,30.9,time?,
95,11,,31,,5,,262.29,19.9,250.9,36.4,time?,
96,11,,31,,6,,220.55,19.9,211.8,35.9,time?,
97,11,,31,,7,,234.95,19.9,227.6,35.6,time?,
98,11,,31,,8,,257.31,19.9,246,37.2,time?,
99,11,,31,,9,,343,19.9,316.3,32.2,time?,
100,11,,31,,10,,212.32,19.9,190.4,20.6,time?,
101,11,,4,,1,,76.58,19.9,97.5,47.5,time?,
102,11,,4,,2,,73.23,19.9,94.2,47.3,time?,
103,11,,4,,3,,73.37,19.9,88.9,41.2,time?,
104,11,,4,,4,,61.73,18.5,91.8,53.2,time?,
105,11,,4,,5,,74.92,18.5,96.2,46.7,time?,
106,11,,4,,6,,71.27,18.5,100.9,54.1,time?,
107,11,,4,,7,,76.53,18.5,103,51.7,time?,
108,11,,4,,8,,71.77,18.5,101.4,54.6,time?,
109,11,,4,,9,,93.74,18.5,116.8,49.8,time?,
110,11,,4,,10,,97.49,18.5,126.1,56.7,time?,
111,11,,8,,1,,357.19,19.9,349.3,53.6,time?,
112,11,,8,,2,,370.83,19.9,354.5,51.5,time?,
113,11,,8,,3,,403.69,19.8,390.3,57.5,time?,
114,11,,8,,4,,384.72,19.8,380.2,63.7,time?,
115,11,,8,,5,,381.22,19.8,365.8,52.4,time?,
116,11,,8,,6,,384.57,19.9,362.6,47.3,time?,
117,11,,8,,7,,348.51,19.9,332.6,50.3,time?,
118,11,,8,,8,,651.95,19.9,608,60.6,time?,
119,11,,8,,9,,425.09,19.9,398.9,47.4,time?,
120,11,,8,,10,,436.96,19.9,419.8,67.8,time?,
121,11,,32,,1,,264.15,18.5,273.1,63.3,time? Basal accumulation,
122,11,,32,,2,,190.05,19.21,188.3,41.9,time?,
123,11,,32,,3,,270.27,19.21,241.8,46.8,brown cubical rot,
124,11,,32,,4,,272.12,18.5,277.1,59.3,time?,
125,11,,32,,5,,161.52,18.5,178.2,54.9,time?,
126,11,,32,,6,,238.7,18.5,233.7,44.4,brown cubical rot,
127,11,,32,,7,,196.66,18.5,209.9,55.6,time?,
128,11,,32,,8,,178.68,19.96,189.2,54.1,time?,
129,11,,32,,9,,207.73,19.96,212.8,49.8,time?,
130,11,,32,,10,,248.47,19.96,248.5,53.7,time?,
131,11,,2,,1,,97.7,20,96.3,51.6,time?,
132,11,,2,,2,,87.37,20,83.8,47.3,time?,
133,11,,2,,3,,166,20,282.3,204.3,time?,
134,11,,2,,4,,93.34,20,89,47,time?,
135,11,,2,,5,,125.81,20,261.3,205.7,time?,
136,11,,2,,6,,48.06,20,75.3,57.2,time?,
137,11,,2,,7,,64.17,20,75.7,52.1,time?,
138,11,,2,,8,,58.19,20,70.4,50.3,time?,
139,11,,2,,9,,50.95,20,78.1,60.7,time?,
140,11,,2,,10,,54.42,20,86,67.6,time?,
141,11,,5,,1,,66.63,19.9,87.6,53.2,time?,
142,11,,5,,2,,106.4,19.9,105.3,46.7,time?,
143,11,,5,,3,,75.03,19.9,86.7,49.9,time?,
144,11,,5,,4,,72.9,19.9,84.5,47.3,time?,
145,11,,5,,5,,86.38,19.9,96.1,47,time?,
146,11,,5,,6,,77.27,19.9,90.1,54.4,time?,
147,11,,5,,7,,83.62,19.9,94.9,54.1,time?,
148,11,,5,,8,,88.68,19.9,94.2,50.9,time?,
149,11,,5,,9,,74.18,19.9,93.5,56.5,time?,
150,11,,5,,10,,67.37,19.9,70.6,41.1,time?,
151,11,,30,174,1,,286.92,19.8,261.4,30.9,time?,
152,11,,30,175,2,,949.93,19.8,547,30.4,time?,
153,11,,30,176,3,,936.08,19.8,567.8,51.7,time?,
154,11,,30,177,4,,1865.8,50.9,1520.7,91.8,time?,
155,11,,30,178,5,,600.12,19.8,551.1,50.1,time?,
156,11,,30,179,6,,644.2,19.8,579.1,49.2,time?,
157,11,,30,180,7,,435.95,19.8,402.9,56.5,time?,
158,11,,30,181,8,,578.36,19.8,532,47.1,time?,
159,11,,30,182,9,,779.01,19.96,562.1,27.5,time?,
160,11,,30,183,10,,255.83,19.96,258.3,53.5,time?,
161,11,,30,184,11,,727.5,19.96,549.2,31,time?,
162,11,,30,185,12,,804.11,20,597.8,49.1,time?,
163,11,,30,186,13,,370.6,20,346.7,39.6,time?,
164,11,,30,187,14,,497.58,20,469.1,49.9,time?,
165,11,,30,188,15,,2330.92,51.1,1950.1,113.9,time?,
166,11,,30,189,16,,435.28,19.9,354.3,50.9,time?,
167,11,,30,190,17,,263.21,19.9,256.2,40.8,time?,
168,11,,30,191,18,,822.74,20,753.5,50,time?,
169,11,,30,192,19,,423.91,19.9,410.2,46.3,time?,
170,11,,30,193,20,,649.16,20.1,502.2,37.6,time?,
171,4,,31,,1,,639.4,19.84,522.2,58.3,time?,
172,10,,8,,1,,541.8,19.84,502.1,38.8,,
173,10,,8,,2,,475,19.84,481.1,55.1,,
174,10,,8,,3,,541.9,19.84,542.6,63.1,,
175,10,,8,,4,,472.7,19.84,424.5,60.8,,
176,10,,8,,5,,586.8,19.84,544.7,40.8,,
177,10,,8,,6,,635.3,19.84,576.6,55,,
178,10,,8,,7,,517.3,19.84,483.2,58.6,,
179,10,,8,,8,,510.1,19.84,485.5,47.8,,
180,10,,8,,9,,524.7,19.84,496.3,46.5,,
181,10,,8,,10,,474.4,19.84,429.9,46.7,,
182,10,,30,214,1,,172.2,20.25,170.2,35.6,,
183,10,,30,215,2,,233.5,19.97,220.4,29,,
184,10,,30,216,3,,852,19.9,764.6,54.2,,
185,10,,30,217,4,,664.4,20.16,540.1,53.8,,
186,10,,30,218,5,,130.9,20.09,96.1,29.3,,
187,10,,30,219,6,,156.8,20.97,152.3,30,,
188,10,,30,220,7,,265.9,20.1,248.8,39.5,,
189,10,,30,221,8,,259.8,20.46,238.3,27.7,,
190,10,,30,222,9,,300.6,19.85,274.4,37,,
191,10,,30,223,10,,402.1,19.93,306.5,20.4,,
192,10,,30,224,11,,402.7,19.88,281.9,48.3,,
193,10,,30,225,12,,196.4,20.05,185.1,31.4,,
194,10,,30,226,13,,1261,20.04,837.8,54.5,,
195,10,,30,227,14,,476,19.9,380.5,38.4,,
196,10,,30,228,15,,720.7,20.04,633.9,40.3,,
197,10,,30,229,16,,165.3,19.89,161.2,35.4,,
198,10,,30,230,17,,243.5,19.93,237.9,36.2,,
199,10,,30,231,18,,124.7,19.2,126.2,31.9,,
200,10,,30,232,19,,878.7,20.42,657.9,47.3,,
201,10,,30,233,20,,472.1,21.84,347.1,50.9,,
202,10,,4,,1,,90.8,19.84,94,29.8,,
203,10,,4,,2,,105.5,19.84,101.5,26.7,1255,
204,10,,4,,3,,141.1,19.84,150.9,40.2,1355,
205,10,,4,,4,,98.7,19.84,109.1,38.1,1345,
206,10,,4,,5,,114.7,19.84,119,33.4,1335,
207,10,,4,,6,,54.1,19.84,61.3,30.3,1330,
208,10,,4,,7,,120.2,19.84,116.6,26.9,1340,
209,10,,4,,8,,140.8,19.84,135.8,25.8,1305,
210,10,,4,,9,,129.5,19.84,133.5,33.9,1315,
211,10,,4,,10,,97.7,19.84,107.9,38.1,1320,
212,10,,31,,1,,1102.9,19.84,1004.5,47.5,,
213,10,,31,,2,,872.9,19.84,808.1,31.3,,
214,10,,31,,3,,688.8,19.84,636.4,27.3,,
215,10,,31,,4,,763.3,19.84,672.6,23.8,,
216,10,,31,,5,,818.7,19.84,738.4,31.4,,
217,10,,31,,6,,1126.4,19.84,1025.4,50,,
218,10,,31,,7,,731,19.84,666.4,44.8,,
219,10,,31,,8,,752.2,19.84,720.8,61,,
220,10,,31,,9,,956.6,19.84,897.5,57.8,,
221,10,,31,,10,,768.2,19.84,723.8,57.1,,
222,10,,5,,1,,69.9,19.84,62.5,28.6,1245,
223,10,,5,,2,,45.1,19.84,48.5,26.7,1255,
224,10,,5,,3,,62.6,19.84,57.8,28.6,1352,
225,10,,5,,4,,56.6,19.84,52,31.5,1345,
226,10,,5,,5,,75.6,19.84,57.2,25.1,1335,
227,10,,5,,6,,71.4,19.84,67.5,39.4,1326,
228,10,,5,,7,,88,19.84,67.1,27.7,1340,
229,10,,5,,8,,72.8,19.84,72.2,40.5,1305,
230,10,,5,,9,,52.1,19.84,51.5,30.4,1311,
231,10,,5,,10,,66.3,19.84,57.7,30.6,1320,
232,10,,34,,1,,192.6,19.84,202,54.2,,
233,10,,34,,2,,218.8,19.84,223.6,49,,
234,10,,34,,3,,137.6,19.84,141.2,38.7,,
235,10,,34,,4,,189.2,19.84,182.8,49.2,,
236,10,,34,,5,,178.7,19.84,174.2,53.5,,
237,10,,34,,6,,225.6,19.84,230.5,59.2,,
238,10,,34,,7,,163.6,19.84,175.9,64.3,,
239,10,,34,,8,,121.5,19.84,131.8,43,,
240,10,,34,,9,,135.7,19.84,153.9,49.7,,
241,10,,34,,10,,128.1,19.84,135.3,43.9,,
242,10,,2,,1,,138.1,19.84,111.9,48.5,1145,
243,10,,2,,2,,147.7,19.84,128.3,53.8,1133,
244,10,,2,,3,,123.5,19.84,113.8,55,1124,
245,10,,2,,4,,79.2,19.84,48.1,18.4,1114,
246,10,,2,,5,,215.9,19.84,144.6,47.2,,
247,10,,2,,6,,169.3,19.84,133.2,56,0952,
248,10,,2,,7,,121.5,19.84,82.6,31.1,1008,
249,10,,2,,8,,161.1,19.84,136.4,59.2,1024,
250,10,,2,,9,,121.7,19.84,97.7,41.3,1039,
251,10,,2,,10,,105.9,19.84,78.2,32.7,1057,
252,10,,3,,1,,109.3,19.84,133.8,52.9,1245,
253,10,,3,,2,,82.7,19.84,109.8,51.3,1252,
254,10,,3,,3,,163.2,19.84,183.4,50.7,1352,
255,10,,3,,4,,148.3,19.84,167.2,55.8,1345,
256,10,,3,,5,,181.1,19.84,191.7,49.5,1335,
